30.679,0.039607
46.166,0.11125
61.709,0.12484
77.33,0.046263
92.889,0.060128
108.21,0.11908
123.94,0.27331
139.38,0.1828
155.67,0.25918
171.03,0.26443
187.26,0.26815
202.95,0.30832
218.81,0.35211
234.57,0.41696
250.63,0.46511
266.73,0.35895
281.7,0.52589
296.91,0.49273
312.38,0.44385
327.62,0.48192
342.75,0.62906
358.24,0.4947
373.73,0.56272
388.98,0.61026
404.31,0.65081
419.74,0.61745
434.97,0.50624
450.07,0.5274
465.39,0.59401
480.97,0.64519
15.282,0
30.79,-0.074462
46.291,-0.07212
61.752,-0.0069769
77.386,-0.03698
93.004,0.063198
108.48,0.068469
124.12,0.016249
139.63,0.15073
155.93,0.089932
171.29,0.18416
187.56,0.21365
203.3,0.30804
219.22,0.30074
235.03,0.2779
250.98,0.28676
267.25,0.39912
282.19,0.13883
297.34,0.53949
312.86,0.69811
328.24,0.4408
343.24,0.34619
358.79,0.44468
374.33,0.43334
389.63,0.45063
404.92,0.40966
420.24,0.52702
435.49,0.64232
450.65,0.54089
466.02,0.43268
481.55,0.34982
15.207,0
30.718,-0.043048
46.284,0.01189
61.716,-0.0040824
77.45,0.079876
93.074,0.045838
108.5,0.18929
124.28,0.13704
139.72,0.17129
156.12,0.1622
171.51,0.31258
187.87,0.31006
203.6,0.3589
219.5,0.34103
235.32,0.51743
251.39,0.46477
267.39,0.52898
282.73,0.49957
298.05,0.47495
313.3,0.5046
328.59,0.5248
343.69,0.40966
359.24,0.54757
374.79,0.58515
390.05,0.52987
405.45,0.61878
420.89,0.58789
436.04,0.60948
451.09,0.35798
466.38,0.44604
482.1,0.54145
15.165,0
30.73,-0.065589
46.28,-0.03768
61.793,0.015111
77.493,-0.043738
93.259,-0.028608
108.63,0.017772
124.44,0.17786
139.88,0.14255
156.43,0.14911
171.81,0.12032
188.22,0.14507
203.94,0.14615
220.02,0.27007
235.78,0.2219
251.91,0.415
267.89,0.35564
283.2,-0.014752
298.55,0.35029
313.82,0.39029
328.99,0.47579
344.24,0.49075
359.82,0.45598
375.32,0.42028
390.67,0.46435
406.04,0.40454
421.49,0.4748
436.4,0.61997
451.53,0.36776
466.92,0.449
482.63,0.38311
15.099,0
30.693,-0.0050657
46.295,0.05031
61.75,0.080186
77.464,0.073189
93.277,0.0012564
108.81,0.033156
124.59,0.11038
140.03,0.043754
156.55,0.11992
171.96,0.21024
188.37,0.32924
204.21,0.37119
220.24,0.38848
236.19,0.4054
252.27,0.44876
267.87,0.58602
283.55,0.91458
298.94,0.5388
314.3,0.51693
329.48,0.52403
344.7,0.59749
360.25,0.43552
375.79,0.49719
391.08,0.46652
406.52,0.55684
422.12,0.56997
436.77,0.37306
451.98,0.57137
467.3,0.6432
483.16,0.58589
15.095,0
30.744,0.034587
46.376,0.045345
61.82,0.092236
77.461,0.027602
93.306,0.10856
108.92,0.12879
124.63,0.18548
140.15,0.1641
156.75,0.23216
172.28,0.2315
188.74,0.34617
204.6,0.29097
220.64,0.33345
236.64,0.45297
252.85,0.49303
268.78,0.46316
284.08,0.85748
299.45,0.49762
314.82,0.50255
330.07,0.42201
345.13,0.4796
360.74,0.493
376.26,0.4669
391.64,0.50479
407.08,0.5141
422.49,0.51842
437.34,0.49344
452.62,0.47558
467.88,0.60567
483.69,0.60845
15.13,0
30.79,-0.095883
46.468,0.022293
61.848,-0.044142
77.569,0.018728
93.435,0.044511
109.1,0.048073
124.79,0.062591
140.38,0.082494
156.99,0.17998
172.63,0.17298
189.03,0.21038
204.93,0.33923
221.09,0.32031
237.13,0.35675
253.31,0.44514
269.64,0.37685
284.57,0.41628
299.95,0.69317
315.24,0.52101
330.55,0.50232
345.63,0.55894
361.21,0.57019
376.77,0.5658
392.16,0.49815
407.61,0.50466
422.99,0.48376
437.82,0.58393
453.23,0.49968
468.49,0.45142
484.45,0.4564
15.034,0
30.812,0.028696
46.424,0.040617
61.869,0.095015
77.618,0.01008
93.487,0.096959
109.17,0.079487
124.88,0.163
140.56,0.3404
157.16,0.243
172.84,0.3182
189.37,0.42415
205.26,0.29926
221.45,0.319
237.58,0.41795
253.7,0.42229
270.06,0.53293
285.27,0.47703
300.47,0.4382
315.74,0.71047
331.11,0.47611
346.2,0.39973
361.78,0.50365
377.28,0.63198
392.67,0.55345
408.09,0.61337
423.57,0.49611
438.32,0.775
453.68,0.61981
468.94,0.4685
484.55,0.53655
15.063,0
30.853,-0.079871
46.52,0.025121
61.876,0.025156
77.711,-0.018348
93.562,0.079221
109.33,-0.044813
125.21,0.15609
140.8,0.17568
157.48,0.11543
173.27,0.21303
189.67,0.12068
205.57,0.36389
221.87,0.3919
238,0.53269
254.23,0.43282
270.53,0.38635
285.71,0.45496
301.18,0.42575
316.22,0.44303
331.51,0.50151
346.71,0.50819
362.42,0.55371
377.84,0.52725
393.29,0.51704
408.59,0.52277
424.35,0.62142
438.94,0.33396
454.15,0.51477
469.48,0.54188
484.89,0.42635
14.983,0
30.878,0.042944
46.545,0.053759
61.856,0.075311
77.788,0.068509
93.516,0.071757
109.48,0.18617
125.39,0.22403
140.92,0.18104
157.69,0.22479
173.39,0.26583
190.03,0.29885
205.96,0.34025
222.4,0.44277
238.43,0.31536
254.61,0.44058
270.99,0.43015
286.12,0.23191
301.62,0.52643
316.71,0.53659
332.01,0.56109
347.27,0.45445
362.95,0.48153
378.35,0.48032
393.81,0.5445
