319.24,501.33,320.31,486.6,321.96,470.7,323.6,455.07,325.14,439.76,325.64,423.32,325.52,407.49,325.42,391.07,325.07,375.02,324.69,358.71,323.91,341.68,322.77,325.29,321.63,308.01,320.55,291.72,319.44,275.09,318.56,258.68,317.45,242.04,316.29,226.31,315.25,210.52,315.8,194.71,316.78,179.02,317.93,164.25,318.79,149,321.27,133.9,323.82,118.33,326.64,103.12,329.42,87.96,331.63,72.394,333.55,58.042,335.61,43.133,336.91,27.599,337.43,11.887
319.19,501.98,320.27,487.23,321.9,471.2,323.58,455.61,325.14,440.29,325.62,423.8,325.52,407.98,325.44,391.52,325.07,375.54,324.67,359.23,323.9,342.08,322.77,325.61,321.66,308.17,320.58,291.97,319.47,275.33,318.57,258.92,317.38,242.17,316.27,226.45,315.27,210.67,315.79,195.01,316.78,179.22,317.88,164.35,318.77,149.07,321.31,133.97,323.81,118.42,326.65,103.16,329.47,88.021,331.65,72.44,333.61,58.123,335.62,43.094,336.94,27.647,337.41,12.041
319.19,502.51,320.2,487.82,321.84,471.79,323.48,456.22,325.12,440.87,325.57,424.37,325.51,408.51,325.43,391.89,325.04,375.96,324.63,359.61,323.85,342.54,322.77,325.86,321.65,308.44,320.61,292.11,319.47,275.52,318.54,259.05,317.41,242.35,316.29,226.57,315.21,210.67,315.74,194.94,316.75,179.4,317.89,164.25,318.77,149.08,321.27,133.97,323.77,118.45,326.64,103.22,329.44,88.018,331.65,72.588,333.57,58.144,335.6,43.184,336.89,27.594,337.43,12.043
319.14,503.06,320.18,488.33,321.81,472.31,323.49,456.67,325.08,441.34,325.55,424.86,325.51,409.02,325.44,392.35,325.02,376.36,324.65,359.97,323.88,342.72,322.79,326.07,321.73,308.64,320.6,292.28,319.45,275.39,318.54,259.05,317.46,242.43,316.34,226.49,315.26,210.64,315.79,194.89,316.77,179.41,317.87,164.13,318.75,149.01,321.23,134.02,323.74,118.47,326.65,103.2,329.46,87.943,331.69,72.31,333.59,58.103,335.61,43.074,336.83,27.669,337.44,12.015
319.15,503.63,320.14,488.91,321.77,472.89,323.41,457.38,325.06,441.93,325.51,425.49,325.49,409.53,325.43,392.77,325.03,376.9,324.65,360.32,323.89,343.01,322.79,326.34,321.74,308.9,320.63,292.41,319.52,275.94,318.56,259.23,317.44,242.51,316.32,226.76,315.28,210.64,315.78,194.77,316.77,179.38,317.88,164.01,318.79,148.94,321.26,133.95,323.81,118.46,326.7,103.11,329.43,88.063,331.63,72.592,333.58,58.16,335.59,43.168,336.83,27.751,337.45,11.979
319.07,504.31,320.06,489.57,321.73,473.58,323.39,458.01,325.04,442.58,325.49,426.09,325.47,410.08,325.43,393.29,325.02,377.42,324.64,360.74,323.91,343.49,322.77,326.66,321.7,309.13,320.6,292.66,319.5,276.15,318.57,259.36,317.42,242.66,316.31,226.62,315.28,210.8,315.78,195.05,316.8,179.34,317.88,164.09,318.74,149.01,321.25,134.08,323.83,118.54,326.64,103.32,329.35,88.169,331.59,72.431,333.49,58.294,335.56,43.238,336.85,27.78,337.4,11.983
319.04,504.9,320.04,490.21,321.69,474.15,323.38,458.53,325.01,443.07,325.46,426.58,325.47,410.63,325.43,393.66,325.05,377.8,324.69,361.23,323.94,344.1,322.8,326.98,321.72,309.28,320.64,292.85,319.53,276.2,318.6,259.38,317.46,242.67,316.33,226.75,315.32,210.79,315.78,195.16,316.8,179.39,317.86,164.18,318.77,149.07,321.29,134.07,323.8,118.54,326.61,103.4,329.37,88.194,331.64,72.459,333.5,58.242,335.58,43.271,336.86,27.753,337.43,12.071
319.01,505.48,320,490.76,321.66,474.68,323.36,459.05,325.02,443.62,325.47,427.05,325.49,411.09,325.44,394.06,325.07,378.21,324.71,361.51,323.96,344.24,322.85,327.15,321.75,309.46,320.65,292.91,319.55,276.23,318.66,259.45,317.52,242.51,316.35,226.55,315.32,210.78,315.75,195.2,316.82,179.32,317.91,164.06,318.76,148.96,321.31,134.05,323.8,118.58,326.67,103.31,329.44,88.15,331.68,72.139,333.53,58.194,335.62,43.245,336.91,27.748,337.45,11.962
318.91,506.26,319.9,491.46,321.57,475.41,323.27,459.67,324.96,444.2,325.42,427.65,325.44,411.64,325.42,394.49,325.06,378.76,324.71,361.95,323.94,344.53,322.84,327.68,321.71,309.73,320.63,293.12,319.5,276.48,318.6,259.67,317.42,242.75,316.3,226.58,315.28,210.93,315.77,195.26,316.74,179.36,317.85,164.14,318.76,149.05,321.28,134.16,323.8,118.69,326.64,103.4,329.39,88.291,331.64,72.33,333.46,58.323,335.58,43.356,336.78,27.977,337.36,11.978
318.88,506.89,319.86,492.03,321.54,475.98,323.25,460.35,324.95,444.8,325.44,428.17,325.46,412.18,325.46,394.95,325.04,379.13,324.72,362.33,323.96,344.83,322.91,328.02,321.71,310,320.63,293.28,319.53,276.62,318.59,259.77,317.39,242.8,316.3,226.64,315.27,210.96,315.8,195.31,316.78,179.3,317.84,164.34,318.77,149.13,321.34,134.11,323.79,118.63,326.64,103.5,329.4,88.295,331.6,72.433,333.5,58.365,335.55,43.514,336.82,28.047,337.39,11.957
